,longitude,latitude,Hour
3794,7.6613,45.05402,0
3795,7.65576,45.10038,0
3796,7.67359,45.0794,0
3797,7.70952,45.06339,0
3798,7.65761,45.03763,0
3799,7.6692,45.07531,0
3800,7.72361,45.06991,0
3801,7.66727,45.03242,0
3802,7.67827,45.05161,0
3803,7.64386,45.08059,0
3804,7.64676,45.07865,0
3805,7.65878,45.05729,0
3806,7.66351,45.05739,0
3807,7.6952,45.08117,0
3808,7.62207,45.07461,0
3809,7.65505,45.07225,0
3810,7.67447,45.06092,0
3811,7.686,45.05926,0
3812,7.68681,45.05896,0
3813,7.6508,45.06619,0
3814,7.68709,45.05886,0
3815,7.63093,45.07516,0
3816,7.68654,45.05818,0
3817,7.63433,45.04175,0
3818,7.71336,45.09173,0
3819,7.65339,45.07275,0
3820,7.65951,45.05749,0
3821,7.66128,45.08546,0
3822,7.70735,45.07365,0
3823,7.68135,45.06488,0
3824,7.66697,45.05725,0
3825,7.67788,45.07487,0
3826,7.66257,45.06555,0
3827,7.70975,45.09173,0
3828,7.69774,45.07193,0
3829,7.68287,45.06133,0
3830,7.68107,45.10417,0
3831,7.63598,45.07602,0
3832,7.6736,45.04885,0
3833,7.68678,45.09347,0
3834,7.68381,45.05913,0
3835,7.68152,45.06486,0
3836,7.66648,45.03022,0
3837,7.67729,45.05142,0
3838,7.69312,45.07378,0
3839,7.69235,45.07179,0
3840,7.63862,45.03919,0
3841,7.68654,45.05818,0
3842,7.65246,45.08276,0
3843,7.69351,45.08721,0
3844,7.64617,45.06896,0
3845,7.64217,45.06139,0
3846,7.64598,45.1093,0
3847,7.64264,45.05844,0
3848,7.64975,45.06673,0
3849,7.66617,45.05008,0
3850,7.67729,45.05142,0
3851,7.65764,45.01307,0
3852,7.66784,45.08844,0
3853,7.65324,45.03812,0
3854,7.67584,45.05449,0
3855,7.67602,45.05503,0
3856,7.67565,45.05426,0
3857,7.67588,45.05455,0
3858,7.67832,45.04929,0
3859,7.63813,45.06872,0
3860,7.68624,45.05744,0
3861,7.64658,45.06562,0
3862,7.68287,45.06133,0
3863,7.67243,45.07218,0
3864,7.68313,45.08445,0
3865,7.66905,45.06262,0
3866,7.68404,45.06143,0
3867,7.72226,45.07592,0
3868,7.68242,45.05399,0
3869,7.68085,45.08694,0
3870,7.65472,45.03249,0
3871,7.66094,45.05145,0
3872,7.68287,45.06133,0
3873,7.63312,45.08356,0
3874,7.66977,45.08053,0
3875,7.6894,45.06164,0
3876,7.65021,45.05074,0
3877,7.66581,45.07458,0
3878,7.65512,45.07652,0
3879,7.67378,45.08699,0
3880,7.66753,45.02986,0
3881,7.65626,45.05666,0
3882,7.65178,45.03385,0
3883,7.64862,45.05444,1
3884,7.67404,45.09579,1
3885,7.72207,45.07589,1
3886,7.67987,45.09258,1
3887,7.67166,45.07824,1
3888,7.65465,45.05407,1
3889,7.62727,45.04739,1
3890,7.64211,45.062,1
3891,7.66257,45.06555,1
3892,7.65775,45.05685,1
3893,7.64015,45.03313,1
3894,7.66682,45.06768,1
3895,7.66792,45.07268,1
3896,7.6673,45.06846,1
3897,7.66787,45.06914,1
3898,7.66103,45.06526,1
3899,7.68131,45.104,1
3900,7.6788,45.0582,1
3901,7.66914,45.03717,1
3902,7.66103,45.06526,1
3903,7.64868,45.04069,1
3904,7.65348,45.03895,1
3905,7.67336,45.06409,1
3906,7.69655,45.06801,1
3907,7.64867,45.06465,1
3908,7.63719,45.06245,1
3909,7.64216,45.05887,1
3910,7.68287,45.06133,1
3911,7.6503,45.06833,1
3912,7.68354,45.06282,1
3913,7.64636,45.03905,1
3914,7.69935,45.06925,1
3915,7.67602,45.05503,1
3916,7.65118,45.05439,1
3917,7.65574,45.08665,1
3918,7.66697,45.05725,1
3919,7.64849,45.01473,1
3920,7.69355,45.09057,1
3921,7.69351,45.08721,1
3922,7.64825,45.0832,1
3923,7.64611,45.02605,1
3924,7.65165,45.05858,1
3925,7.66341,45.05703,1
3926,7.64674,45.0647,1
3927,7.70058,45.08009,1
3928,7.64871,45.11083,1
3929,7.6894,45.06164,1
3930,7.64056,45.06828,1
3931,7.69961,45.09579,1
3932,7.6495,45.06369,1
3933,7.63032,45.08214,1
3934,7.66895,45.03031,1
3935,7.63991,45.06236,1
3936,7.63988,45.07731,1
3937,7.646,45.02593,1
3938,7.66697,45.05725,1
3939,7.6616,45.05226,1
3940,7.6771,45.04473,1
3941,7.6376,45.06942,1
3942,7.61448,45.01854,1
3943,7.64386,45.08059,1
3944,7.62931,45.07746,1
3945,7.63797,45.05872,1
3946,7.60691,45.0731,1
3947,7.67336,45.06409,1
3948,7.71419,45.07133,1
3949,7.66914,45.03717,1
3950,7.61933,45.03834,1
3951,7.66784,45.08844,1
3952,7.65348,45.03895,1
3953,7.64658,45.06562,1
3954,7.65064,45.04573,1
3955,7.65595,45.07988,1
3956,7.65537,45.03504,1
3957,7.68313,45.08445,1
3958,7.64676,45.07865,1
